y m x
1.333333 -0.3323921 -0.4096045
-0.333334 0.1676089 -0.4096045
3 0.5009419 -0.4096045
-2.333333 -0.1657251 -0.4096045
-0.333333 -0.1657251 -0.4096045
-0.333333 0.0009419463 -0.4096045
-0.333333 -0.832391 -0.4096045
-0.333333 -2.165725 -0.4096045
0.666666 -0.665725 -0.4096045
-0.333333 0.5009419 -0.4096045
1 -2.665725 -0.4096045
0.666667 -1.165725 -0.4096045
2 -0.832391 -0.4096045
0.666666 -0.1657251 -0.4096045
-1 1.167608 -0.4096045
4 0.0009409463 -0.4096045
2 -2.332392 -0.4096045
1 2.167608 -0.4096045
0.666667 0.834275 -0.4096045
0 -1.665725 -0.4096045
1 0.3342749 -0.4096045
0.666667 0.1676079 -0.4096045
1.333333 -0.1657251 -0.4096045
0.333334 -0.3323921 -0.4096045
-1.666667 0.1676079 -0.4096045
2.333334 0.834275 -0.4096045
2.333333 0.1676079 -0.4096045
0 -0.999058 -0.4096045
-0.666667 -0.3323921 -0.4096045
0 0.1676079 -0.4096045
-1 0.0009419463 -0.4096045
0 -0.4990581 -0.4096045
1.666667 1.834275 -0.4096045
1.666667 0.667608 -0.4096045
0.666667 -0.1657251 -0.4096045
-0.333333 -0.1657251 -0.4096045
-1.333333 0.3342749 -0.4096045
0 -1.665725 -0.4096045
0 0.834275 -0.4096045
1 0.667608 -0.4096045
-0.666667 0.0009419463 -0.4096045
-0.666667 0.3342749 -0.4096045
1.666667 0.5009419 -0.4096045
0.666667 0.0009409463 -0.4096045
-1.333333 -0.665725 -0.4096045
0.333333 2.667608 -0.4096045
0.333333 -1.665725 -0.4096045
0 0.0009419463 -0.4096045
-1 0.667608 -0.4096045
-0.666667 0.667608 -0.4096045
-0.333333 0.0009419463 0.5903955
0.666667 -0.1657251 0.5903955
-1.333333 -0.832392 0.5903955
-1 0.834275 0.5903955
0 -0.3323921 0.5903955
-0.333333 -1.999058 0.5903955
1.333333 0.834275 0.5903955
-0.666667 2.167608 0.5903955
1.666667 -0.4990581 0.5903955
1 0.834275 0.5903955
0.666666 0.667608 0.5903955
-0.333334 0.3342749 0.5903955
1.666667 -0.832392 0.5903955
-0.666667 -1.165725 0.5903955
0.333334 -0.4990581 0.5903955
0.666667 2.334275 0.5903955
0.666667 -0.832391 0.5903955
2 0.667608 0.5903955
-0.666667 0.834275 0.5903955
3 -0.665725 0.5903955
0 -0.832391 0.5903955
2 1.000942 0.5903955
0.666666 0.0009419463 0.5903955
1.666666 0.834275 0.5903955
-0.333334 0.3342749 0.5903955
-2 0.834275 0.5903955
-1 0.834275 0.5903955
-0.666667 -0.1657251 0.5903955
0.666667 0.3342749 0.5903955
0 -0.665725 0.5903955
-0.333333 -0.1657251 0.5903955
1.666667 0.3342749 0.5903955
-0.666666 0.834275 0.5903955
-0.666667 -0.1657251 0.5903955
1 -1.165725 0.5903955
1.666667 -0.4990581 0.5903955
-0.333333 0.5009419 0.5903955
-1 -1.165725 0.5903955
0.333334 -0.1657251 0.5903955
1.333333 0.834275 0.5903955
-0.333333 1.667608 0.5903955
0 0.5009409 0.5903955
1 2.834275 0.5903955
-0.333334 -0.3323911 0.5903955
1 2.334275 0.5903955
1.333334 1.000942 0.5903955
1 0.1676079 0.5903955
2 -0.3323921 0.5903955
-0.333334 0.3342749 0.5903955
2 -0.1657251 0.5903955
1.333334 0.1676079 0.5903955
-0.333334 -0.999059 0.5903955
1.333334 0.834275 0.5903955
0.333333 -0.832391 0.5903955
2.333333 2.167608 0.5903955
-1.333333 -0.1657251 0.5903955
-0.333334 0.0009419463 0.5903955
1 0.5009409 0.5903955
0.333333 0.834275 0.5903955
1 -3.165725 0.5903955
-2.666666 -0.832392 0.5903955
0 -0.4990581 0.5903955
1.333333 -0.3323921 0.5903955
1 -0.1657251 0.5903955
-0.333333 -0.1657251 0.5903955
-0.333333 0.0009419463 0.5903955
-0.666667 -0.832392 0.5903955
2 1.834275 0.5903955
2 1.834275 0.5903955
0.333334 0.1676079 0.5903955
2.666667 1.000942 0.5903955
1.333333 1.667608 0.5903955
2 -0.665725 0.5903955
1 0.667608 0.5903955
0.666667 2.500942 0.5903955
0 1.167608 0.5903955
-1.666667 0.0009419463 0.5903955
1 0.5009419 0.5903955
1.333334 0.3342749 0.5903955
-0.333334 -0.1657251 0.5903955
-0.333333 1.000942 0.5903955
-0.333333 1.667608 0.5903955
1.666667 1.334275 0.5903955
3.666666 0.3342749 0.5903955
1 -0.4990581 0.5903955
0.333333 -1.165725 0.5903955
-0.333333 1.667608 0.5903955
-0.666667 -0.832392 0.5903955
0 -0.3323921 0.5903955
-0.333334 1.834275 0.5903955
-0.666666 -1.165725 0.5903955
-0.666666 -0.1657251 0.5903955
0.666667 0.1676079 0.5903955
1 1.500942 0.5903955
0 -1.165725 0.5903955
-1 -1.332391 0.5903955
-0.333334 1.167609 0.5903955
0.333333 -0.1657251 0.5903955
-1 1.334275 0.5903955
2 0.667608 0.5903955
2.333334 -0.4990581 0.5903955
1 1.167608 0.5903955
1.333334 -3.665725 0.5903955
0.333333 0.834275 0.5903955
0 -5.165725 0.5903955
0.333334 -0.832392 0.5903955
2 -0.665725 0.5903955
-2 0.3342749 0.5903955
0.666666 2.834275 0.5903955
0.333333 -1.165725 0.5903955
2.666667 1.334275 0.5903955
1.666666 -0.999058 0.5903955
0.666666 0.667609 0.5903955
1 2.834275 0.5903955
0.666666 2.834275 0.5903955
1 -0.4990581 0.5903955
1 2.834275 0.5903955
-0.666667 0.667608 0.5903955
0.666667 -0.4990581 0.5903955
2.333333 -0.1657251 0.5903955
-0.666667 -0.1657251 0.5903955
1 -0.1657251 0.5903955
1.333333 -1.165725 0.5903955
2.333334 0.834275 0.5903955
-0.333333 -0.832392 0.5903955
1.333333 -0.1657251 0.5903955
1 0.3342749 0.5903955
0 0.5009419 0.5903955
0.666667 -0.1657251 0.5903955
1 2.167608 0.5903955
0 0.834275 0.5903955
-0.333333 0.667609 0.5903955
0 0.834275 0.5903955
0 0.667608 0.5903955
-0.333333 -0.1657251 0.5903955
1 -1.832392 0.5903955
1.666666 1.167608 0.5903955
0.666667 -0.665725 0.5903955
1.666667 3.834275 0.5903955
1.333334 0.0009419463 0.5903955
0.666667 0.0009409463 0.5903955
0 0.1676079 0.5903955
1.333333 0.1676089 0.5903955
0 0.667608 0.5903955
1 -0.3323921 0.5903955
